City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
371,colonia,50.9333,6.95,287.07,85,40,1.03,DE,1714977116
372,hadibu,12.65,54.0333,303.75,67,46,1.47,YE,1714977116
373,khromtau,50.2503,58.4347,284.08,45,100,5.85,KZ,1714977117
374,haimen,23.1935,116.6142,306.09,74,99,3.92,CN,1714977117
375,ad dabbah,18.05,30.95,308.98,10,0,5.84,SD,1714977117
376,labytnangi,66.6572,66.4183,265.03,81,6,3.84,RU,1714977117
377,kalmunai,7.4167,81.8167,305.95,63,3,4.55,LK,1714977117
378,sao geraldo do araguaia,-6.4006,-48.555,295.74,87,12,0.62,BR,1714977118
379,sibu,2.3,111.8167,306.32,62,40,1.03,MY,1714977118
380,pisco,-13.7,-76.2167,290.38,88,79,0.51,PE,1714977118
381,nova odesa,47.3078,31.7851,287.97,51,100,5.34,UA,1714977118
382,sao felipe,-14.8167,-41.3833,293.06,90,77,1.58,BR,1714977119
383,dhuusamarreeb,5.535,46.3861,304.4,58,23,5.85,SO,1714977119
384,beihai,21.4833,109.1,302.04,75,100,4.04,CN,1714977119
385,ierapetra,35.01,25.7353,293.23,52,0,6.71,GR,1714977119
386,richards bay,-28.783,32.0377,297.14,41,0,1.93,ZA,1714977119
387,tinajo,29.0788,-13.7081,290.64,82,20,3.6,ES,1714977120
388,tolanaro,-25.0319,46.9987,299.19,65,20,4.12,MG,1714977120
389,posto fiscal rolim de moura,-13.0833,-62.2667,296.94,87,48,0.65,BR,1714977120
390,la ronge,55.1001,-105.2842,278.29,65,40,2.06,CA,1714977120
391,alta,69.9689,23.2717,272.74,72,75,19.22,NO,1714977120
392,alice springs,-23.7,133.8833,293.9,35,1,7.72,AU,1714977003
393,soio,-6.1349,12.3689,299.38,88,100,3.94,AO,1714977121
394,baniachang,24.5167,91.3667,306.16,55,59,3.24,BD,1714977121
395,yangjiang,21.85,111.9667,302.74,71,99,2.97,CN,1714976861
396,cururupu,-1.8283,-44.8683,296.8,100,100,0.9,BR,1714977121
397,vila velha,-20.3297,-40.2925,299.12,83,100,4.63,BR,1714977121
398,as sulayyil,20.4607,45.5779,305.29,30,0,3.52,SA,1714977122
399,broken hill,-31.95,141.4333,292.72,37,0,7.39,AU,1714977039
400,kruisfontein,-34.0033,24.7314,289.2,59,0,0.5,ZA,1714977122
401,itamaraca,-7.7478,-34.8256,302.18,85,42,4.75,BR,1714977122
402,swan hill,-35.3378,143.5544,293.21,36,0,2.36,AU,1714977122
403,khanty-mansiysk,61.0042,69.0019,274.21,37,0,4.0,RU,1714977123
404,atbara,17.7022,33.9864,308.45,12,0,4.49,SD,1714977123
405,itororo,-15.1169,-40.0703,292.52,99,70,1.17,BR,1714977123
406,manado,1.487,124.8455,301.58,89,40,2.06,ID,1714977123
407,jakobstad,63.6749,22.7026,277.06,56,2,0.45,FI,1714977124
408,adoni,15.6333,77.2833,314.08,15,0,4.88,IN,1714977124
409,amos,48.5669,-78.1162,278.54,89,15,2.88,CA,1714977124
410,prado,-17.3411,-39.2208,296.92,88,12,0.79,BR,1714977124
411,mitu,1.1983,-70.1733,295.65,99,100,1.12,CO,1714977124
412,tabu,9.8923,122.7098,302.71,61,95,1.59,PH,1714977125
413,ivanec,46.2231,16.12,291.11,66,100,3.64,HR,1714977125
414,meadow lake,34.8014,-106.5436,293.9,14,100,8.54,US,1714977125
415,bushehr,28.9684,50.8385,307.2,27,40,6.17,IR,1714977125
416,lauro de freitas,-12.8944,-38.3272,300.16,74,75,6.69,BR,1714977125
417,fort st. john,56.2499,-120.8529,285.09,37,20,7.72,CA,1714977126
418,at taj,24.2049,23.2857,297.5,19,0,5.51,LY,1714977126
419,al burayqah,30.4062,19.5739,292.07,63,0,2.09,LY,1714977126
420,okakarara,-20.5833,17.4333,293.85,33,0,4.28,NA,1714977126
421,al hazm,16.1641,44.7769,303.53,34,0,0.79,YE,1714977126
422,pangkalanbuun,-2.6833,111.6167,303.63,70,100,1.48,ID,1714977127
423,beneditinos,-5.45,-42.3667,297.15,82,97,1.73,BR,1714977127
424,romsey,50.9891,-1.4999,284.84,97,40,2.06,GB,1714977078
425,recani,31.2846,-4.2688,297.02,8,35,1.55,MA,1714977127
426,korla,41.7597,86.1469,305.22,6,100,6.31,CN,1714977128
427,wahpeton,46.2652,-96.6059,285.88,76,0,5.14,US,1714977128
428,atlanta,33.749,-84.388,293.65,88,75,1.54,US,1714977048
429,praia da vitoria,38.7333,-27.0667,291.29,100,75,8.29,PT,1714977128
430,findlay,41.0442,-83.6499,287.51,82,20,3.09,US,1714977129
431,altay,47.8667,88.1167,294.97,38,100,7.61,CN,1714977129
432,emmerich,51.8333,6.25,287.15,88,100,4.61,DE,1714977129
433,khandyga,62.6667,135.6,278.2,94,58,1.85,RU,1714977129
434,kirakira,-10.4544,161.9205,300.8,85,99,2.81,SB,1714977129
435,mana,5.6592,-53.7767,299.85,83,100,4.69,GF,1714977130
436,poso,-1.3959,120.7524,301.33,80,100,1.28,ID,1714977130
437,pacific grove,36.6177,-121.9166,283.52,83,0,2.24,US,1714977053
438,roma,43.2128,-75.4557,287.09,95,100,3.09,US,1714977130
439,huai yot,7.7893,99.6348,307.94,53,93,1.79,TH,1714977130
440,oranjemund,-28.55,16.4333,288.51,68,0,2.72,NA,1714977131
441,matoury,4.8483,-52.3317,300.13,94,75,2.57,GF,1714977131
442,freetown,8.484,-13.2299,299.99,78,40,1.54,SL,1714977131
